#KOI-3503.01,,KOI-3503.02,
#t,err,t,err
81.84788981,0.03723880,77.50612207,0.04062840 
102.99217572,0.04443407,109.34471530,0.03969897 
145.30910821,0.04715805,141.21054970,0.04784740 
166.52880612,0.04548758,173.01620158,0.04274378 
208.88726046,0.03795677,204.93929140,0.04682570 
230.18572567,0.05659269,236.64433368,0.04181047 
251.27704371,0.03723884,268.46664507,0.03912640 
272.44253549,0.04698917,300.29510504,0.04347682 
293.55811330,0.03828731,363.94086817,0.05168156 
314.92151037,0.05465387,395.82021502,0.04547569 
336.11327894,0.06643867,427.67924743,0.04956894 
357.07750806,0.05915681,459.45366583,0.04021580 
378.42914411,0.04662744,491.25135470,0.03421451 
399.61934117,0.04046618,523.14402158,0.04575571 
420.81265728,0.03595964,554.88006477,0.02923368 
442.05904620,0.04048806,586.68230456,0.05383559 
463.21338682,0.03937449,618.56856089,0.04644907 
484.39046534,0.05211244,650.34951297,0.04871904 
505.51480848,0.04614745,682.13687309,0.05208236 
526.82835149,0.03918825,713.97895196,0.05594565 
547.99605108,0.03589137,745.77492646,0.03438395 
569.14312003,0.04266768,777.65602404,0.03361607 
590.36919068,0.03987133,809.44987880,0.03653765 
611.44099585,0.06656384,841.45862303,0.04986609 
632.68963771,0.04352033,873.09338129,0.03034371 
675.05696940,0.04955915,904.83902584,0.06275549 
717.44439118,0.04806203,936.68439453,0.03612394 
759.87755278,0.03216895,968.59552098,0.04973791 
780.99502975,0.03498524,1000.39679082,0.05087753 
802.20494865,0.05127601,1064.06981743,0.05038278 
823.37314490,0.03698675,1127.75389729,0.04037741 
844.57172001,0.03122336,1159.60724883,0.03736303 
865.79709236,0.05734718,1191.39311573,0.05229071 
887.02531768,0.03827204,1255.03263121,0.03795170 
908.12575370,0.05363349,1286.86572766,0.04124395 
929.38908562,0.04256664,1318.68626717,0.05316492 
950.42802369,0.03575155,1382.42175256,0.04526239 
971.67316706,0.04003299,1446.00210638,0.03219576 
992.95218339,0.04225289,1477.85782794,0.04609457 
1014.02117015,0.05285592,1509.67050567,0.05050931 
1035.20794254,0.05071402,,
1056.49238210,0.03834814,,
1077.66571061,0.04374814,,
1098.83597955,0.03696706,,
1141.18662116,0.04081289,,
1162.26796874,0.03479759,,
1183.50027954,0.06591088,,
1204.77962710,0.04718962,,
1247.10708445,0.04158497,,
1268.31497046,0.04814538,,
1289.41774732,0.03648092,,
1310.67529913,0.04303851,,
1331.87470209,0.06526261,,
1353.06572494,0.05671204,,
1374.20255254,0.04483718,,
1395.42536446,0.05166888,,
1437.70167948,0.04615295,,
1480.18820684,0.07442372,,
1501.29614019,0.03417091,,
1522.52806172,0.03453268,,
