#KOI-750.02,,KOI-750.03,,Kep-662b,
#t,err,t,err,t,err
65.52383433,0.03519860,71.83372710,0.03185410,82.84541108,0.01379358
70.54157712,0.07151604,86.32901433,0.03501218,104.54478278,0.01084324
75.61044521,0.04587991,129.90179411,0.03641057,126.22898672,0.00691597
80.69592394,0.05461808,144.40835160,0.03535571,169.58693056,0.01012767
85.69946303,0.05846399,158.93404021,0.03018000,191.23827925,0.00710996
90.73112641,0.05651052,173.45725301,0.02855880,212.91255756,0.00988712
95.75817407,0.03896849,188.00447509,0.03127649,234.60258772,0.00797667
105.84186160,0.03036267,202.47028656,0.03476707,277.96791064,0.01166506
110.85429662,0.04133521,217.03621317,0.05162335,299.65073376,0.00991619
120.99224880,0.04688385,231.54373604,0.03332643,321.31417668,0.00885020
126.04631485,0.05700916,246.05454529,0.02201675,342.98206620,0.01140347
131.08944056,0.04458858,260.53449125,0.02374587,364.65266769,0.01048335
136.11981330,0.04437866,275.07721766,0.03800832,386.32331978,0.00895309
141.16965614,0.04253876,289.56658438,0.04334933,429.68549601,0.01091699
146.24668055,0.04001509,304.10777839,0.04762335,451.35920599,0.00863276
151.25578292,0.03638825,318.64914492,0.02755644,473.06113219,0.00873629
156.31945713,0.05120038,347.82964469,0.04577914,494.72936338,0.00850759
161.32618215,0.05170276,362.21466456,0.02501200,516.39649088,0.00694130
166.43946577,0.03463538,376.63401576,0.05581436,538.07033223,0.00868226
171.40990873,0.03023412,391.18521803,0.03804039,559.74339554,0.00778985
176.48738195,0.03839418,405.67186328,0.06188317,581.43240038,0.00943731
181.50895725,0.02930643,420.20467464,0.03722200,603.10514397,0.01013825
186.52592228,0.04040018,434.69090038,0.04119088,624.78885159,0.01198491
196.64319552,0.04207751,449.29020122,0.03040496,646.46958055,0.00872497
201.68262273,0.04878543,463.79960764,0.03791887,689.80575412,0.00893303
206.74859965,0.03720541,478.30737592,0.02609060,711.48646786,0.00565385
211.80218889,0.04729785,492.84527432,0.02994548,733.17290626,0.00830011
216.82315603,0.04432092,507.43385615,0.04090852,754.84522266,0.00839522
221.83552769,0.02581309,521.90079890,0.03829757,776.50434046,0.00954356
226.87967271,0.04519799,536.34413181,0.02862107,798.21360975,0.01081558
231.96935973,0.03039516,550.86958786,0.02497001,841.54916529,0.00717920
237.01080371,0.04841070,565.38866750,0.02992194,863.27043748,0.00648899
242.08908454,0.03199518,580.02986020,0.02742557,884.91240970,0.01019167
246.96449341,0.07464238,594.43643415,0.03533710,906.59072066,0.00891955
252.15021154,0.04149228,608.96720635,0.04116139,928.28197208,0.00797527
257.18988798,0.03075605,638.00274360,0.04743749,949.93625634,0.01246771
262.15012168,0.02873785,652.50896685,0.05545141,971.61006304,0.01406486
267.23111518,0.03832126,681.56564654,0.03673438,993.29130534,0.01898310
272.37993960,0.06863898,710.56111820,0.04581463,1014.96415406,0.00907879
