  5.90378300    7.38391198    -0.05500043    0.05291722    786.72612273        7.52214500     9.84754362     0.01696525    0.01515541    780.46272575        9.59742500     14.78802309     -0.03631906    0.01943261    790.06078025         3.08256900     19.72849159     0.00722968    0.05296313    797.79923442 
   5.31562400    7.38420944    0.02339800    0.03831029    786.72248470        4.75761700     9.84667738     0.10712194    -0.00921504    780.45970710        9.35476100     14.78866017     0.03201005    -0.00251042    790.05886487         1.35143400     19.72723980     0.06472826    0.00857162    797.80947282 
   7.15196400    7.38379848    0.00410676    0.04158913    786.73496784        3.59798800     9.84728313     0.09633832    0.02312036    780.45903565        9.10444900     14.78828488     -0.00198120    0.01557559    790.06267761         4.10411100     19.72747725     0.03718530    0.03405572    797.79836388 
   6.21469300    7.38450699    -0.03662009    0.03257817    786.72394927        7.92849200     9.84671186     0.03073389    -0.01717125    780.46641317        7.53462900     14.78893638     -0.02300033    -0.00227762    790.05385076         1.82434200     19.72815501     0.01476834    0.02106043    797.80602328 
   5.11579700    7.38368882    -0.02504176    0.08853828    786.73129359        8.02805100     9.84769557     0.04746033    0.05571611    780.44299855        8.27163600     14.78899095     -0.01235414    0.04341353    790.06112273         0.80759200     19.72682795     0.04483736    0.07112334    797.80234821 
   7.62932500    7.38405155    0.01445310    -0.01549874    786.72848238        8.34414000     9.84755706     0.07354449    -0.07414375    780.47256751        6.78840400     14.78944013     -0.00673065    -0.03278348    790.05290562         2.61013000     19.72707493     0.01872412    -0.03320908    797.81604524 
   5.47482700    7.38424406    0.06911585    0.03870218    786.72660691        7.86053800     9.84761214     0.12987043    -0.00406146    780.46092846        5.69137900     14.78943207     0.03961779    0.00198984    790.06055321         0.57483500     19.72465990     0.06773718    -0.03155007    797.78953175 
   4.54552800    7.38322099    -0.03799438    0.03616426    786.72008542        7.89196800     9.84860428     0.02374021    -0.00255741    780.46929579        6.75649400     14.78768637     -0.02541890    0.00995713    790.05562723         2.62413700     19.72646250     0.01173423    0.03180517    797.80021949 
   11.65160300    7.38337883    0.03978972    -0.01373800    786.73506185        6.88685200     9.84857687     0.10665929    -0.07524437    780.44511817        8.41023000     14.79051263     -0.01234206    -0.05190103    790.07290235         1.47172500     19.72633150     0.01087599    -0.05513314    797.79284244 
   8.42158000    7.38374557    -0.08605497    0.03279781    786.73408366        5.58322500     9.84745499     -0.02516407    -0.01375320    780.46208117        9.63422100     14.78846291     -0.04938675    0.00012688    790.06203635         2.66881900     19.72685559     -0.01621729    0.03572930    797.81812902 
   8.21803800    7.38405574    -0.04480765    0.09290546    786.74247914        5.35886300     9.84727073     0.02677652    0.07578555    780.46764256        8.17118200     14.78882347     -0.01857254    0.04083671    790.06301908         2.80249300     19.72680978     0.02947426    0.07821973    797.79519863 
   5.25124800    7.38391033    -0.05899642    0.04953296    786.71657681        7.00590600     9.84799879     0.00500709    0.01510091    780.46526923        6.27197600     14.78837692     -0.03639085    0.01885075    790.05735975         2.00221600     19.72665732     -0.00393923    0.04266393    797.81189641 
   6.31000900    7.38382199    0.04018102    0.07380600    786.73304381        6.86937600     9.84737413     0.11900538    0.04394530    780.45031693        8.09194200     14.78925201     0.02747616    0.02924887    790.06129220         1.50921700     19.72656995     0.08340908    0.02799780    797.80550391 
   5.34130500    7.38394029    0.07650873    0.03014782    786.72906801        6.02587400     9.84741242     0.15515652    -0.01833043    780.45873093        7.85890000     14.78905008     0.05352517    -0.00881255    790.06182548         0.90207000     19.72636388     0.08069434    -0.02108891    797.80191238 
   7.73615600    7.38394836    0.02825469    0.04358635    786.74118444        4.73179400     9.84697653     0.11808824    0.01381789    780.46314432        8.84015000     14.78828263     0.00695605    0.00883318    790.06274817         4.36179300     19.72706744     0.04938623    0.01890680    797.80162391 
   5.50262400    7.38377439    -0.00517869    0.03297673    786.73075753        6.12659300     9.84752835     0.06163979    -0.01188759    780.45035060        6.82312200     14.78930243     -0.00017640    -0.00114511    790.05500852         1.02164900     19.72711936     0.03071749    0.00821444    797.80753875 
   4.27478300    7.38341943    -0.04153877    0.03374470    786.71527089        9.36371700     9.84817449     0.01965444    -0.00564895    780.45520910        6.56335500     14.78932319     -0.03164530    0.00767310    790.06097663         0.37868400     19.72715041     0.00350545    0.02694561    797.80381671 
   7.74430300    7.38364907    0.02440372    -0.02386699    786.74095903        8.20734600     9.84780474     0.08010979    -0.08776303    780.46238920        7.40701200     14.78903974     -0.00418507    -0.04364699    790.05809895         2.62125800     19.72827194     0.02168906    -0.04280653    797.80183567 
   6.34603500    7.38397124    0.06583097    0.03521122    786.73118272        7.80076700     9.84766422     0.12915788    -0.00843443    780.45602047        6.10786700     14.78948469     0.03307267    -0.00379437    790.06016471         0.59140000     19.72532483     0.06812361    -0.03454824    797.78627585 
   4.95113900    7.38397770    -0.06879759    0.03497326    786.72978332        7.90163700     9.84785009     -0.00277099    -0.00975930    780.46791230        8.21540200     14.78774989     -0.04679033    0.00396246    790.05450911         4.16840000     19.72661713     -0.01069545    0.03865512    797.80002583 
   8.96426000    7.38352559    0.05436879    -0.00722869    786.73317975        6.36816800     9.84855983     0.12212579    -0.06704887    780.44653810        7.22987500     14.78978446     -0.00070232    -0.04004429    790.07142798         2.84090800     19.72591935     0.02010445    -0.04914043    797.79573974 
   5.72530500    7.38368311    -0.05320617    0.04631368    786.72608621        6.84217400     9.84726236     0.01470578    0.00669350    780.46377147        9.12901600     14.78871012     -0.03491149    0.01355774    790.06143076         2.60746400     19.72786939     0.00419086    0.04448273    797.81261900 
